,City,Date,Country,Lat,Lon,Temp,Max Temp,Humidity,Wind Speed,Cloudiness
81,Chui,1586804966,UY,-33.7,-53.46,71.33,71.33,63,5.39,100
82,George Town,1586804966,MY,5.41,100.34,81.16,82.4,88,1.12,20
83,Kavieng,1586804966,PG,-2.57,150.8,82.87,82.87,75,4.36,92
84,Mount Gambier,1586804966,AU,-37.83,140.77,51.8,51.8,81,8.05,43
85,Benguela,1586804966,AO,-12.58,13.41,79.25,79.25,81,3.02,90
86,Puro,1586804967,PH,12.48,123.38,80.62,80.62,78,11.97,84
87,Los Aquijes,1586804967,PE,-14.1,-75.69,73.33,73.99,30,10.29,50
88,Jumla,1586804967,NP,29.27,82.18,50.22,50.22,28,3.15,34
89,Saint George,1586804887,US,37.1,-113.58,54.27,57.2,16,3.36,1
90,Krasnosel'kup,1586804967,RU,65.7,82.47,34.48,34.48,98,6.38,100
91,Souillac,1586804967,MU,-20.52,57.52,77.47,78.8,74,11.41,75
92,Avarua,1586804770,CK,-21.21,-159.78,80.6,80.6,74,6.93,95
93,Maningrida,1586804967,AU,-12.07,134.27,74.55,74.55,82,8.14,10
94,Māgadi,1586804764,IN,12.97,77.23,80.02,84.99,53,11.23,20
95,Kanashevo,1586804968,RU,55.22,62.06,37.4,37.4,55,6.71,40
96,Fairbanks,1586804968,US,64.84,-147.72,35.28,37.4,93,4.47,90
97,Mehamn,1586804968,NO,71.04,27.85,32.45,32.45,95,27.49,100
98,Nikolskoye,1586805028,RU,59.7,30.79,36.16,37.4,69,13.42,20
99,Jamestown,1586805028,US,42.1,-79.24,48.13,57.0,93,32.21,90
100,Hermanus,1586805028,ZA,-34.42,19.23,58.35,60.01,90,3.15,17
101,Maracaçumé,1586804914,BR,-2.04,-45.96,74.12,74.12,96,6.6,100
102,Sorong,1586805028,ID,-0.88,131.25,77.07,77.07,90,2.62,99
103,Novaya Igirma,1586805029,RU,57.13,103.91,30.97,30.97,88,3.58,0
104,La Ronge,1586805029,CA,55.1,-105.28,12.2,12.2,51,6.93,20
105,Esperance,1586805029,AU,-33.87,121.9,64.4,64.4,88,4.7,90
106,Palu,1586805029,ID,-0.89,119.87,75.29,75.29,81,2.71,99
107,Vengerovo,1586805029,RU,55.68,76.75,36.95,36.95,87,6.87,88
108,Port Lincoln,1586805029,AU,-34.73,135.87,65.61,65.61,46,9.19,13
109,San Patricio,1586805029,MX,19.22,-104.7,80.6,80.6,65,5.82,20
110,Xiaoweizhai,1586805029,CN,26.19,107.51,49.51,49.51,58,0.74,100
111,Jaqué,1586805030,PA,7.52,-78.17,83.17,83.17,77,6.22,81
112,Kruisfontein,1586805030,ZA,-34.0,24.73,56.95,56.95,79,6.82,26
113,Bridlington,1586805030,GB,54.08,-0.19,41.18,43.0,60,6.93,1
114,Valença,1586805030,BR,-13.37,-39.07,73.53,73.53,95,4.45,99
115,Kaitangata,1586805030,NZ,-46.28,169.85,44.01,44.01,77,20.83,79
116,Arrondissement d'Arcachon,1586804849,FR,44.59,-1.05,65.95,68.0,55,6.93,92
117,Ponta do Sol,1586805030,PT,32.67,-17.1,62.11,66.2,59,5.82,20
118,Laas,1586805030,IT,46.62,10.7,54.75,68.0,46,3.36,20
119,Lebu,1586805030,CL,-37.62,-73.65,60.64,60.64,52,12.84,31
120,Chinhoyi,1586805031,ZW,-17.37,30.2,68.99,68.99,42,3.65,19
121,Upernavik,1586805031,GL,72.79,-56.15,32.07,32.07,98,5.93,100
122,Lorengau,1586805031,PG,-2.02,147.27,81.01,81.01,78,4.16,95
123,Lüderitz,1586805031,NA,-26.65,15.16,62.6,62.6,67,14.99,0
124,Gravdal,1586805031,NO,68.12,13.5,35.6,35.6,69,16.11,75
125,Edremit,1586805031,TR,39.6,27.02,55.67,55.67,60,0.96,1
126,Cape Town,1586805025,ZA,-33.93,18.42,59.09,60.01,87,5.82,23
127,Santa Cruz de la Sierra,1586804827,BO,-17.8,-63.17,88.48,89.6,52,25.28,75
128,Chernyanka,1586805032,RU,50.94,37.81,48.9,48.9,51,12.53,25
129,Avera,1586805032,US,33.19,-82.53,79.45,82.4,39,14.99,1
130,Qaanaaq,1586805032,GL,77.48,-69.36,21.96,21.96,87,2.19,100
131,Bandarbeyla,1586805032,SO,9.49,50.81,81.59,81.59,72,12.64,76
132,Atuona,1586805032,PF,-9.8,-139.03,81.82,81.82,70,7.83,30
133,Mazamari,1586805032,PE,-11.33,-74.53,87.85,87.85,40,2.62,57
134,Naryan-Mar,1586805032,RU,67.67,53.09,19.0,19.0,94,12.1,100
135,Talnakh,1586805032,RU,69.49,88.4,19.4,19.4,92,17.9,75
136,Tommot,1586805032,RU,58.96,126.29,29.43,29.43,93,4.54,100
137,Mil'kovo,1586805032,RU,54.72,158.62,23.25,23.25,91,1.43,47
138,Hasaki,1586805033,JP,35.73,140.83,44.37,45.0,70,17.22,75
139,Coquimbo,1586805033,CL,-29.95,-71.34,66.2,66.2,63,13.87,4
140,Ulaanbaatar,1586805003,MN,47.91,106.88,35.6,35.6,43,11.18,75
141,Port Blair,1586805033,IN,11.67,92.75,83.12,83.12,69,4.94,54
142,Puerto Limón,1586805033,CR,10.0,-83.03,84.2,84.2,74,6.93,75
143,Brumunddal,1586805033,NO,60.88,10.94,35.01,35.01,44,7.0,58
144,Hailar,1586805033,CN,49.2,119.7,43.84,43.84,49,15.03,90
145,Kodinsk,1586805033,RU,58.69,99.18,32.68,32.68,89,2.46,0
146,Deep River,1586805033,CA,46.1,-77.5,55.24,57.0,100,3.36,90
147,Kulhudhuffushi,1586805094,MV,6.62,73.07,85.68,85.68,65,5.75,14
148,Kalamare,1586805094,BW,-22.93,26.57,76.87,76.87,18,4.47,75
149,Bambanglipuro,1586805094,ID,-7.95,110.28,77.67,77.67,74,3.38,33
150,Mineiros,1586805094,BR,-17.57,-52.55,83.14,83.14,49,1.77,3
151,Saint-Augustin,1586805094,CA,51.23,-58.65,34.65,34.65,91,12.55,41
152,Pawa,1586805095,PH,13.17,123.73,77.59,77.59,81,8.21,91
153,Dwārka,1586805095,IN,22.24,68.97,80.65,80.65,73,18.88,75
154,Codrington,1586805095,AU,-38.27,141.97,56.84,56.84,55,9.55,58
155,Tasiilaq,1586805091,GL,65.61,-37.64,32.0,32.0,90,16.11,45
156,Kisangani,1586805095,CD,0.52,25.2,77.49,77.49,67,2.37,98
157,Guerrero Negro,1586805095,MX,27.98,-114.06,65.59,65.59,56,15.55,48
158,Grand Gaube,1586805095,MU,-20.01,57.66,77.02,78.8,74,11.41,75
159,Ginir,1586805095,ET,7.13,40.7,62.47,62.47,54,2.33,96
160,Tura,1586805096,IN,25.52,90.22,76.15,76.15,38,2.06,56
161,Lompoc,1586805096,US,34.64,-120.46,57.51,64.0,87,10.29,90
162,Katherine,1586805096,AU,-14.47,132.27,69.8,69.8,83,4.7,4
163,San Juan,1586805016,AR,-31.54,-68.54,72.09,72.09,27,6.62,0
164,Campos Sales,1586804832,BR,-7.07,-40.38,80.47,80.47,69,3.58,99
165,Belmonte,1586805096,BR,-15.86,-38.88,80.6,80.6,78,10.29,75
166,Norman Wells,1586805096,CA,65.28,-126.83,33.8,33.8,55,12.75,90
167,Kloulklubed,1586805096,PW,7.04,134.26,77.0,77.0,94,3.71,75
168,Anadyr,1586805096,RU,64.75,177.48,10.18,10.4,78,8.95,90
169,Ancud,1586805096,CL,-41.87,-73.82,55.4,55.4,76,5.82,90
170,Airai,1586805097,TL,-8.93,125.41,61.5,61.5,71,2.04,50
171,Oktyabr'skoye,1586805097,RU,43.06,44.74,41.0,41.0,60,11.18,0
172,Caravelas,1586805097,BR,-17.71,-39.25,78.39,78.39,80,21.16,81
173,Hilo,1586805018,US,19.73,-155.09,70.77,75.2,73,6.93,1
174,Surgut,1586805097,RU,61.25,73.42,33.8,33.8,74,4.47,81
175,Sørland,1586805097,NO,67.67,12.69,35.6,35.6,69,16.11,75
176,Wawa,1586805097,NG,9.9,4.42,92.48,92.48,29,3.78,1
177,Kenmare,1586804885,IE,51.88,-9.58,57.2,57.2,62,6.93,40
178,Port Elizabeth,1586805097,ZA,-33.92,25.57,60.8,60.8,77,11.41,28
179,Tsimmerbude,1586805097,RU,54.67,20.13,39.2,39.2,69,11.18,40
180,Saldanha,1586805097,ZA,-33.01,17.94,60.8,60.8,77,8.05,3
181,São Filipe,1586805097,CV,14.9,-24.5,74.59,74.59,77,14.38,41
182,Saint Paul Harbor,1586805097,US,57.79,-152.41,42.8,42.8,87,5.21,90
183,Half Moon Bay,1586804898,US,37.46,-122.43,62.82,68.0,67,3.36,20
184,Kenai,1586805098,US,60.55,-151.26,36.5,39.99,100,4.7,90
185,Hay River,1586805098,CA,60.82,-115.8,33.8,33.8,40,4.7,40
186,Necochea,1586805098,AR,-38.55,-58.74,59.94,62.01,72,5.01,100
187,Alice Springs,1586805098,AU,-23.7,133.88,62.6,62.6,45,3.36,92
188,Kiryat Gat,1586805098,IL,31.61,34.76,58.6,63.0,72,3.36,63
189,Tazovsky,1586805098,RU,67.47,78.7,17.58,17.58,97,9.37,95
190,‘Āhuimanu,1586805098,US,21.44,-157.84,77.16,78.8,69,9.17,90
191,Prince Albert,1586804901,CA,53.2,-105.77,14.0,14.0,56,12.75,20
192,Shimoda,1586805098,JP,34.67,138.95,43.65,50.0,93,4.7,75
193,Ust'-Barguzin,1586805098,RU,53.45,108.98,29.8,29.8,86,1.79,93
194,Tuatapere,1586805098,NZ,-46.13,167.68,45.0,45.0,77,8.99,94
195,Northam,1586805099,GB,51.03,-4.22,48.22,51.01,68,8.99,0
196,Cayenne,1586805159,GF,4.93,-52.33,86.0,86.0,62,13.87,75
197,Quatre Cocos,1586805159,MU,-20.21,57.76,77.32,78.8,74,11.41,75
198,Longyearbyen,1586805159,SJ,78.22,15.64,15.8,15.8,66,17.22,75
199,Torbay,1586805125,CA,47.67,-52.73,47.25,48.0,45,19.46,20
200,Camargo,1586804910,MX,27.67,-105.17,77.9,77.9,9,10.94,0
201,Koróni,1586805159,GR,36.8,21.95,59.54,64.99,81,1.12,0
202,Barreiras,1586804928,BR,-12.15,-44.99,81.9,81.9,70,4.88,32
203,Luga,1586805159,RU,58.74,29.85,35.96,35.96,83,2.98,97
204,San Francisco,1586805127,US,37.77,-122.42,63.7,68.0,59,8.05,20
205,Russell,1586805159,US,32.35,-85.2,77.25,81.0,50,10.29,1
206,Tiznit Province,1586805159,MA,29.58,-9.5,59.81,59.81,52,10.4,90
207,Verkhotur'ye,1586805159,RU,58.86,60.81,39.11,39.11,91,2.26,90
208,Mahébourg,1586805160,MU,-20.41,57.7,77.68,78.8,74,11.41,75
209,Ziro,1586805160,IN,27.63,93.83,53.78,53.78,44,3.22,7
210,Lavrentiya,1586805160,RU,65.58,-171.0,20.52,20.52,95,2.95,47
211,Matamoros,1586805160,MX,25.53,-103.25,83.59,84.2,6,6.93,5
212,Laguna,1586805160,US,38.42,-121.42,63.82,66.99,67,4.21,1
213,Palana,1586805160,RU,59.12,159.97,5.16,5.16,94,2.59,35
214,Carnarvon,1586805063,AU,-24.87,113.63,75.2,75.2,94,14.99,2
215,San Policarpo,1586805160,PH,12.18,125.51,80.73,80.73,77,8.63,81
216,Valtice,1586805160,CZ,48.74,16.75,47.61,54.0,76,10.29,88
217,Karratha,1586805160,AU,-20.74,116.85,83.73,83.73,61,2.71,45
218,Yeniseysk,1586805160,RU,58.45,92.17,37.54,37.54,85,6.17,0
219,Ahome,1586805161,MX,25.92,-109.18,81.61,82.0,28,6.93,5
220,Hithadhoo,1586805161,MV,-0.6,73.08,85.82,85.82,65,5.53,73
221,Khorramshahr,1586805161,IR,30.44,48.17,75.54,78.8,43,7.74,0
222,São João da Barra,1586805161,BR,-21.64,-41.05,78.8,78.8,65,9.17,75
223,Pevek,1586805098,RU,69.7,170.31,-2.24,-2.24,91,2.66,98
224,Morgan City,1586805156,US,29.7,-91.21,76.87,82.99,64,10.29,1
225,Bushehr,1586805161,IR,28.97,50.84,68.0,68.0,56,8.14,6
226,Nekhayevskiy,1586805161,RU,50.41,41.76,39.99,39.99,57,7.34,4
227,Kralendijk,1586805161,BQ,12.15,-68.27,87.8,87.8,58,19.46,75
228,Geraldton,1586805101,AU,-28.77,114.6,65.12,66.2,77,9.17,16
229,Vestmannaeyjar,1586805161,IS,63.44,-20.27,42.8,42.8,87,13.87,90
230,Presov,1586805161,SK,49.17,21.25,49.93,55.99,76,9.17,98
231,Mangit,1586805161,UZ,40.6,70.96,55.4,55.4,82,4.7,90
232,Beloha,1586805096,MG,-25.17,45.05,74.89,74.89,73,4.27,1
233,Sakaiminato,1586805162,JP,35.55,133.23,46.4,46.4,61,3.36,40
234,Cidreira,1586805162,BR,-30.18,-50.21,74.7,74.7,64,12.3,100
235,Ottawa,1586804983,CA,45.41,-75.7,59.2,60.01,93,14.99,90
236,Tucumã,1586804996,BR,-0.18,-50.05,76.68,76.68,86,5.12,100
237,Bairiki Village,1586805162,KI,1.33,172.98,82.4,82.4,83,12.75,40
238,Araxá,1586804870,BR,-19.59,-46.94,77.0,77.0,65,4.7,40
239,Luang Prabang,1586805162,LA,19.89,102.13,69.69,69.69,75,1.03,37
240,Coyhaique,1586805162,CL,-45.58,-72.07,57.58,59.0,51,9.17,40
241,Mendi,1586805162,PG,-6.18,143.65,55.13,55.13,56,0.89,100
242,Sohag,1586805162,EG,26.56,31.69,73.4,73.4,22,10.29,0
243,Arica,1586805110,CL,-18.48,-70.3,76.01,77.0,57,18.34,11
244,Otavi,1586805162,NA,-19.65,17.33,70.56,70.56,30,1.16,57
245,Manokwari,1586805222,ID,-0.87,134.08,78.37,78.37,81,6.42,100
246,Kamenka,1586805223,RU,51.32,42.77,43.97,46.0,48,1.01,56
247,Te Anau,1586805223,NZ,-45.42,167.72,38.61,38.61,76,4.05,61
248,Le Mars,1586805223,US,42.79,-96.17,29.39,32.0,92,23.04,90
249,Katsuura,1586805107,JP,35.13,140.3,47.91,48.2,81,11.41,75
250,Ribeira Grande,1586805071,PT,38.52,-28.7,64.4,64.4,68,5.82,40
251,Torit,1586805223,SS,4.41,32.57,81.37,81.37,48,2.04,100
252,Bella Union,1586805223,UY,-30.28,-57.6,69.85,69.85,50,14.45,99
253,East London,1586805223,ZA,-33.02,27.91,68.07,68.07,83,2.86,100
254,Puerto Nariño,1586805223,CO,-3.77,-70.38,87.8,87.8,74,4.7,75
255,Pajapan,1586805224,MX,18.25,-94.7,96.8,96.8,37,11.41,40
256,Kopavogur,1586805224,IS,64.11,-21.91,41.0,41.0,75,17.22,75
257,Belaya Gora,1586805224,RU,68.53,146.42,12.54,12.54,96,8.16,100
258,Gobabis,1586805224,NA,-22.45,18.97,73.4,73.4,53,2.24,65
259,Głowno,1586805224,PL,51.96,19.72,40.46,42.01,48,6.93,99
260,Chala,1586804946,TZ,-7.58,31.27,68.0,68.0,72,4.7,75
261,Nyurba,1586805224,RU,63.28,118.33,23.29,23.29,96,1.86,0
262,Okha,1586805224,RU,53.57,142.95,26.46,26.46,99,5.12,99
263,Salinas,1586805044,US,36.68,-121.66,58.64,64.0,67,2.24,40
264,Camacha,1586805224,PT,33.08,-16.33,61.09,66.2,93,23.04,40
265,Wakkanai,1586805225,JP,45.41,141.67,34.75,34.75,82,13.62,0
266,Tiruchchendur,1586805225,IN,8.48,78.12,83.84,83.84,70,3.18,1
267,Mossamedes,1586805225,AO,-15.2,12.15,75.29,75.29,74,10.65,20
268,Itarema,1586805225,BR,-2.92,-39.92,83.44,83.44,77,6.33,95
269,Chokurdakh,1586805225,RU,70.63,147.92,11.62,11.62,96,7.47,100
270,Tual,1586805225,ID,-5.67,132.75,82.36,82.36,77,2.13,97
271,St. George's,1586805050,GD,12.06,-61.75,86.0,86.0,66,17.22,20
272,Buala,1586805226,SB,-8.14,159.59,82.44,82.44,79,7.92,29
273,Ville-Marie,1586805226,CA,47.33,-79.43,39.2,39.2,100,9.17,90
274,Al Bardīyah,1586805226,LY,31.76,25.09,61.88,61.88,66,7.25,0
275,Cap-aux-Meules,1586805226,CA,47.38,-61.86,41.0,41.0,86,16.11,90
276,Bathsheba,1586805226,BB,13.22,-59.52,86.0,86.0,58,21.92,40
277,Dingle,1586805069,PH,11.0,122.67,78.08,78.08,84,5.77,7
278,Cooma,1586805088,AU,-36.23,149.13,39.2,39.2,100,2.24,75
279,Manavālakurichi,1586805226,IN,8.13,77.3,86.0,86.0,66,5.68,40
280,Komsomolets,1586805226,KZ,53.75,62.07,39.27,39.27,67,9.17,83
281,Leh,1586805227,IN,34.17,77.58,39.52,39.52,18,3.74,100
282,Yumen,1586805227,CN,40.28,97.2,54.97,54.97,19,1.01,85
283,Westport,1586805177,US,41.14,-73.36,57.9,61.0,87,33.33,90
284,Pemangkat,1586805227,ID,1.17,108.97,77.14,77.14,83,9.57,5
285,Zyryanka,1586805227,RU,65.75,150.85,16.81,16.81,96,3.06,88
286,Aginskoye,1586805227,RU,51.1,114.53,38.16,38.16,57,12.39,96
287,Ambulu,1586805227,ID,-8.35,113.61,77.56,77.56,76,4.14,76
288,Tiksi,1586805227,RU,71.69,128.87,-6.54,-6.54,88,6.58,36
289,Hambantota,1586805093,LK,6.12,81.12,77.0,77.0,100,2.24,40
290,Boca do Acre,1586805228,BR,-8.75,-67.4,91.09,91.09,48,4.43,56
291,Vilela,1586805228,PT,41.23,-7.6,50.81,52.0,8,2.66,86
292,Kungurtug,1586805228,RU,50.6,97.52,32.59,32.59,53,2.1,70
293,Banda Aceh,1586805228,ID,5.56,95.32,80.67,80.67,77,2.06,93
294,Constantine,1586805156,DZ,36.37,6.61,68.0,68.0,45,4.7,75
295,Thompson,1586805288,CA,55.74,-97.86,10.4,10.4,51,8.05,75
296,Ayna,1586805288,PE,-12.65,-73.92,75.2,75.2,33,2.24,20
297,Gushikawa,1586805288,JP,26.35,127.87,60.94,62.6,51,14.99,75
298,Ukiah,1586805289,US,39.15,-123.21,65.48,69.01,51,2.68,1
299,Kutum,1586805289,SD,14.2,24.67,73.92,73.92,12,9.91,62
300,Dalian,1586805289,CN,38.91,121.6,44.6,44.6,42,2.24,6
301,Oranjemund,1586805289,NA,-28.55,16.43,57.16,57.16,84,9.82,1
302,Riverton,1586804990,US,40.52,-111.94,40.01,44.6,44,14.99,1
303,Indiaroba,1586805289,BR,-11.52,-37.51,86.4,86.4,61,9.46,81
304,Yanam,1586805289,IN,16.73,82.22,81.39,81.39,76,5.61,0
305,Topolobampo,1586805289,MX,25.6,-109.05,81.9,82.99,28,6.93,5
306,Vanimo,1586805289,PG,-2.67,141.3,78.42,78.42,82,5.37,98
307,Alihe,1586805289,CN,50.57,123.72,35.8,35.8,65,6.87,81
308,Dali,1586805290,CN,25.7,100.18,47.34,47.34,46,1.57,21
309,Jāwā,1586805290,JO,31.85,35.94,59.0,59.0,51,5.91,26
310,Wanning,1586805290,CN,18.8,110.4,68.86,68.86,80,8.28,98
311,Yelizovo,1586805290,RU,53.19,158.38,23.0,23.0,79,6.71,39
312,Port Hedland,1586805290,AU,-20.32,118.57,80.6,80.6,83,5.82,40
313,Chaihe,1586805290,CN,44.77,129.7,46.29,46.29,45,3.76,35
314,Manaure,1586805290,CO,11.78,-72.44,87.8,87.8,62,13.87,71
315,Pulandian,1586805290,CN,39.4,121.97,44.6,44.6,42,2.24,5
316,Ciudad Bolivar,1586805290,VE,8.12,-63.55,99.19,99.19,22,9.71,94
317,Margate,1586805290,GB,51.38,1.39,43.93,46.0,56,11.41,40
318,Vao,1586805161,NC,-22.67,167.48,75.81,75.81,80,11.9,90
319,Silopi,1586805290,TR,37.25,42.47,53.19,53.19,52,2.13,9
320,Sawang Daen Din,1586805291,TH,17.48,103.46,70.88,70.88,57,11.05,84
321,Kirgiz-Miyaki,1586805291,RU,53.63,54.8,33.8,33.8,81,7.49,64
322,Cururupu,1586805291,BR,-1.83,-44.87,73.47,73.47,96,6.93,100
323,Broken Hill,1586805291,AU,-31.95,141.43,55.4,55.4,54,8.05,62
324,Lagoa,1586805292,PT,39.05,-27.98,60.89,60.89,81,13.22,47
325,Bohuslav,1586805292,UA,49.55,30.87,57.9,57.9,40,18.57,86
326,Petropavl,1586805292,KZ,54.88,69.16,48.87,48.87,64,5.41,77
327,Lexington,1586805231,US,37.99,-84.48,44.65,48.0,75,18.54,90
328,Storforshei,1586805292,NO,66.4,14.52,33.8,33.8,74,4.7,40
329,Pecos,1586805292,US,31.42,-103.49,52.47,53.6,34,9.17,1
330,Nishihara,1586805292,JP,26.18,127.76,61.09,62.6,51,13.87,40
331,Khovd,1586805292,MN,48.01,91.64,43.23,43.23,34,1.45,45
332,Mayumba,1586805292,GA,-3.43,10.66,80.56,80.56,83,5.41,70
333,Zhigansk,1586805151,RU,66.77,123.37,5.41,5.41,93,6.91,38
334,Żychlin,1586805293,PL,52.24,19.63,40.78,42.01,48,6.93,87
335,Maravilha,1586805293,BR,-26.76,-53.17,81.61,84.0,41,4.47,7
336,Chicama,1586805293,PE,-7.84,-79.15,75.2,75.2,69,6.93,40
